DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
12/15/2012,4:24,,,40.7609347,-73.7311243,"(40.7609347, -73.7311243)",,,,2,1,1,1,0,0,1,0,Alcohol Involvement,,,,,3079263,PASSENGER VEHICLE,,,,
12/14/2012,18:07,,,40.6670627,-73.7391857,"(40.6670627, -73.7391857)",,,,0,1,0,1,0,0,0,0,Unspecified,,,,,3017137,PASSENGER VEHICLE,,,,
12/14/2012,8:20,MANHATTAN,10023,40.7780962,-73.9782926,"(40.7780962, -73.9782926)",COLUMBUS AVENUE,WEST 73 STREET,,0,1,0,1,0,0,0,0,Unspecified,,,,,53218,LARGE COM VEH(6 OR MORE TIRES),,,,
12/13/2012,13:35,BRONX,10454,40.8068225,-73.9174784,"(40.8068225, -73.9174784)",EAST 138 STREET,SAINT ANNS AVENUE,,0,1,0,1,0,0,0,0,Driver Inattention/Distraction,,,,,73535,LARGE COM VEH(6 OR MORE TIRES),,,,
12/08/2012,14:25,BROOKLYN,11223,40.6060431,-73.9782909,"(40.6060431, -73.9782909)",QUENTIN ROAD,WEST 5 STREET,,7,1,3,1,0,0,4,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,122529,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
11/30/2012,19:06,BROOKLYN,11219,40.6259834,-74.0015202,"(40.6259834, -74.0015202)",65 STREET,13 AVENUE,,0,1,0,0,0,0,0,1,Unspecified,Unspecified,,,,141706,SPORT UTILITY / STATION WAGON,MOTORCYCLE,,,
11/26/2012,8:12,,,,,,,,PARKING GARAGE @ 21 BARCLAY STREET,0,1,0,1,0,0,0,0,Unspecified,Unspecified,,,,1303,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
11/25/2012,18:51,BROOKLYN,11229,40.6130524,-73.949118,"(40.6130524, -73.949118)",BEDFORD AVENUE,KINGS HIGHWAY,,1,1,1,1,0,0,0,0,Alcohol Involvement,Unspecified,Unspecified,Unspecified,Unspecified,148544,OTHER,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON
11/22/2012,3:19,,,40.7179035,-73.8320112,"(40.7179035, -73.8320112)",,,,0,1,0,0,0,0,0,1,Unspecified,Unspecified,,,,3089708,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/20/2012,11:38,QUEENS,11414,40.6596447,-73.8486818,"(40.6596447, -73.8486818)",84 STREET,158 AVENUE,,2,1,0,0,0,0,2,1,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,229113,OTHER,SPORT UTILITY / STATION WAGON,OTHER,,
